,Song Name,Artist Name,Artist Popularity,Artist Genres,Artist Followers,Danceability,Energy,Track ID,Loudness,Speechiness,Acousticness,Tempo,Key,Instrumentalness,Lyrics,Popularity,Liveness,Valence,Time Signature List,Duration,Hit
10,Everything Will Be Alright,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.508,0.762,5UimLzrkc72ST1fQRuwQKs,-3.895,0.0288,0.00108,128.078,0,0.00154,Du-du-dudu  I believe in you and me I'm coming to find you If it takes me all night Run until you make it right And I won't forget you At least I'll try And run and run Tonight  Everything will be alright Everything will be alright Everything will be alright  Everything will be alright Everything will be alright ...  *******  ******* ,48,0.102,0.212,4,345253,1
11,Papercut,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.524,0.939,1Vej0qeQ3ioKwpI6FUbRv1,-3.994,0.113,0.00022,150.184,9,0,Why does it feel like night today? Somethin' in here's not right today Why am I so uptight today? Paranoia's all I got left I don't know what stressed me first Or how the pressure was fed But I know just what it feels like To have a voice in the back of my head It's like a face that I hold inside A face that awakes when I close my eyes A face watches every time I lie A face that laughs every time I fall   So I know that when it's time to sink or swim That the face inside is hearin' me Right underneath my skin  It's like I'm paranoid lookin' over my back It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within It's like the face inside is right beneath my skin  ...  *******  ******* ,74,0.623,0.661,4,184867,1
12,One Step Closer,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.492,0.969,3K4HG9evC7dg3N0R9cYqk4,-4.419,0.0491,0.0014,95.136,9,1.32E-06,"I cannot take this anymore Saying everything I've said before All these words they make no sense I find bliss in ignorance Less I hear, the less you'll say You'll find that out anyway  Just like before…  Everything you say to me  I need a little room to breathe 'Cause I'm one step closer to the edge I'm about to break  I find the answers aren't so clear Wish I could find a way to disappear All these thoughts they make no sense I find bliss in ignorance Nothing seems to go away Over and over again ...  *******  ******* ",75,0.0787,0.538,4,157333,1
13,With You,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.421,0.978,5uuXtfqM7Wp3idCxyHeOll,-4.004,0.302,0.0037,196.921,6,0,I woke up in a dream today To the cold of the static and put my cold feet on the floor Forgot all about yesterday Remembering I'm pretending to be where I'm not anymore A little taste of hypocrisy And I'm left in the wake of the mistake slow to react And even though you're so close to me You're still so distant And I can't bring you back  It's true the way I feel Was promised by your face The sound of your voice Painted on my memories Even if you're not with me I'm with you  You now I see keeping everything inside With you  You now I see even when I close my eyes  ...  *******  ******* ,64,0.111,0.359,4,203267,1
14,Points Of Authority,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.512,0.97,5egqKwgK5r5rvGD1LrtR7J,-3.886,0.212,0.03,94.952,8,0,"Forfeit the game Before somebody else Takes you out of the frame And puts your name to shame Cover up your face You can't run the race The pace is too fast You just won't last  You love the way I look at you While taking pleasure in the awful things you put me through You take away if I give in My life, my pride is broken  You like to think you're never wrong  You have to act like you're someone  You want someone to hurt like you  You want to share what you have been through   You love the things I say I'll do ...  *******  ******* ",68,0.0994,0.427,4,200240,1
15,Crawling,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.58,0.702,57BrRMwf9LrcmuOsyGilwr,-5.565,0.0337,0.0466,105.076,4,3.20E-06,"Crawling in my skin These wounds they will not heal Fear is how I fall Confusing what is real  There's something inside me that pulls beneath the surface Consuming Confusing This lack of self-control, I fear is never-ending Controlling I can't seem  To find myself again My walls are closing in Without a sense of confidence, I'm convinced that there's just too much pressure to take I've felt this way before So insecure ...  *******  ******* ",75,0.536,0.299,4,208960,1
16,Runaway,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.636,0.884,6xtQ23d8GEXgcxyUKPtwc5,-4.743,0.0584,0.0142,109.16,7,0,"Graffiti decorations under a sky of dust A constant wave of tension on top of broken trust The lessons that you taught me, I learned were never true Now I find myself in question  Guilty by association   I wanna run away, never say goodbye I wanna know the truth, instead of wondering why I wanna know the answers, no more lies I wanna shut the door and open up my mind  Paper bags and angry voices under a sky of dust Another wave of tension has more than filled me up All my talk of taking action these words were never true Now I find myself in question  Guilty by association ...  *******  ******* ",66,0.253,0.446,4,183973,1
17,By Myself,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.544,0.935,6UzeOH4bRPzKTo2wCXMZmC,-4.159,0.173,0.0171,103.026,6,0.00301,"What do I do to ignore them behind me? Do I follow my instincts blindly? Do I hide my pride from these bad dreams And give in to sad thoughts that are maddening?  Do I sit here and try to stand it? Or do I try to catch them red-handed? Do I trust some and get fooled by phoniness? Or do I trust nobody and live in loneliness?  Because I can't hold on when I'm stretched so thin I make the right moves, but I'm lost within I put on my daily façade, but then I just end up getting hurt again  By myself  I ask why  I can't rely on myself  I ask why  I can't rely on myself  I can't hold on  It's all too much to take in I can't hold on  With thoughts of failure sinking in ...  *******  ******* ",62,0.297,0.339,4,189800,1
18,In The End,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.542,0.853,60a0Rd6pjrkxjPbaKzXjfq,-6.407,0.0498,0.0103,105.256,3,0,"It starts with One thing, I don't know why It doesn't even matter how hard you try Keep that in mind I designed this rhyme to explain in due time  All I know Time is a valuable thing Watch it fly by as the pendulum swings Watch it count down to the end of the day The clock ticks life away  It's so unreal Didn't look out below Watch the time go right out the window Trying to hold on, but didn't even know I wasted it all just to watch you go  I kept everything inside And even though I tried, it all fell apart What it meant to me will eventually be a memory of a time when ...  *******  ******* ",85,0.108,0.37,4,216933,1
19,A Place For My Head,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.603,0.908,5rAxhWcgFng3s570sGO2F8,-5.254,0.184,0.0144,133.063,11,0,"I watch how the moon sits in the sky in the dark night Shining with the light from the sun And sun doesn't give light to the moon assuming The moon's gonna owe it one It makes me think of how you act for me You do favors then rapidly You just turn around and start askin' me about Things that you want back from me  I'm sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest  I wanna be in another place I hate when you say you don't understand  I wanna be in the energy, not with the enemy A place for my head  Maybe some day I'll be just like you And step on people like you do And run away all the people I thought I knew I remember back then who you were ...  *******  ******* ",68,0.671,0.457,4,184640,1
20,Forgotten,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.615,0.947,7kxM3UJwN6rHAW5kwdlAHK,-3.817,0.11,0.0132,108.193,8,0,"From the top to the bottom, bottom to top, I stop At the core I've forgotten, in the middle of my thoughts Taken far from my safety, the picture's there The memory won't escape me, but why should I care?  From the top to the bottom, bottom to top, I stop At the core I've forgotten, in the middle of my thoughts Taken far from my safety, the picture's there The memory won't escape me, but why should I care?  Theres a place so dark you can't see the end Skies cock back and shock that which can't defend The rain then sends dripping, acidic questions, forcefully The power of suggestion, then with the eyes shut  Looking through the rust and rot and dust A small spot of light floods the floor And pours over the rusted world of pretend And the eyes ease open and it's dark again  From the top to the bottom, bottom to top, I stop At the core I've forgotten, in the middle of my thoughts Taken far from my safety, the picture's there The memory won't escape me, but why should I care? ...  *******  ******* ",62,0.366,0.498,4,194427,1
21,Cure For The Itch,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.75,0.677,3rpnfXSECgapxeGeRgUYqy,-7.395,0.221,0.163,99.99,8,0.0509,"Folks, we have a very special guest for you tonight I would like to introduce Mr. Hahn  ...  *******  ******* ",58,0.247,0.851,4,157200,1
22,Pushing Me Away,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.484,0.913,1gAaRSN57UYVRI4eWRyAvP,-4.305,0.0425,0.000391,103.103,6,0,"I've lied to you The same way that I always do  This is the last smile That I'll fake for the sake of being with you   The sacrifice of hiding in a lie   The sacrifice is never knowing  Why I never walked away? Why I played myself this way? Now, I see your testing me pushes me away Why I never walked away? ...  *******  ******* ",62,0.309,0.279,4,191440,1
23,My December,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.73,0.585,0fxGA5lxrdYNYoE7yJxTNZ,-9.274,0.0238,0.375,100.021,0,0.0101,This is my December This is my time of the year This is my December This is all so clear  This is my December This is my snow covered home This is my December This is me alone  And I  And I  And I  And I   ...  *******  ******* ,64,0.147,0.721,4,260560,1
24,High Voltage,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.593,0.967,7GVqIMb6OdMY5mG7fUrtOq,-4.26,0.182,0.105,93.916,7,2.77E-06,"You know what I mean  You could put a label on a life Put a label on a lifestyle Sometimes... You know Put a label on how you wake up every morning And go to bed at night  Hybrid  I've been diggin into crates ever since I was livin in space  Before the ratrace, before monkeys had human traits I mastered numerology and bigbang theology Performed lobotomies with telekinetic psychology Invented the mic so I could start blessin it Chincheckin kids to make my point like an impressionist Many men have tried to shake us But I twist mic cords in double helixes and show them what I'm made of I buckle knees like leg braces Cast the spell of instrumental-ness and all of you emcees who hate us So you can try on Leave you without a shoulder to cry on From now to infinity let icons be bygones  I fire bomb ghostly notes haunt this I tried threats but moved on to a promise  I stomp shit with or without an accomplice  And run the gauntlet with whoever that wants this High Voltage  The unforgettable sound  High Voltage Bringing you up and taking you down High Voltage  Coming at you from every side High Voltage Making the rhythm and rhyme collide Akira, I put a kink in the backbones of clones with microphones Never satisfy my rhyme jones Sprayin bright day over what you might say ...  *******  ******* ",61,0.314,0.287,4,225107,1
25,Papercut - Recorded Live At BBC1,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.474,0.966,5SDOPP5zCdggONUuYWiiTS,-4.104,0.135,0.000291,150.051,1,0.00025,Why does it feel like night today? Something in here's not right today Why am I so uptight today? Paranoia's all I got left  I don't know what stressed me first Or how the pressure was fed But I know just what it feels like To have a voice in the back of my head  It's like a face that I hold inside A face that awakes when I close my eyes A face watches every time I lie A face that laughs every time I fall   So I know that when it's time to sink or swim That the face inside is hearing me Right underneath my skin  It's like I'm paranoid lookin' over my back It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within It's like the face inside is right  beneath my skin ...  *******  ******* ,55,0.178,0.742,4,189973,1
26,Wake,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.31,0.175,0GkuKdv0osuL9QhfnXqVNP,-11.93,0.0433,0.0642,125.319,0,0.813,,50,0.416,0.182,4,100920,1
27,Given Up,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.655,0.885,1fLlRApgzxWweF1JTf8yM5,-4.116,0.0438,0.00117,100.088,7,0.000473,"Wake in a sweat again Another day's been laid to waste In my disgrace Stuck in my head again Feels like I'll never leave this place There's no escape I'm my own worst enemy  I've given up I'm sick of feeling Is there nothing you can say? Take this all away I'm suffocating Tell me, what the fuck is wrong with me? ...  *******  ******* ",68,0.0448,0.938,4,189293,1
28,Leave Out All The Rest,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.509,0.629,0sp00HSXkQyqTa6QqM0O8V,-6.434,0.0335,0.209,80.012,0,1.99E-06,"I dreamed I was missing You were so scared But no one would listen 'Cause no one else cared  After my dreaming I woke with this fear What am I leaving When I'm done here  So if you're asking me, I want you to know  When my time comes Forget the wrong that I've done Help me leave behind some reasons to be missed  And don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest ...  *******  ******* ",69,0.369,0.237,4,209307,1
29,Bleed It Out,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.529,0.967,0UFDKFqW2oGspYeYqo9wjA,-3.647,0.0508,0.114,140.127,1,0,"Yeah, here we go for the hundredth time Hand grenade pins in every line Throw 'em up and let something shine Going out of my fucking mind  Filthy mouth, no excuse Find a new place to hang this noose String me up from atop these roofs Knot it tight so I won't get loose  Truth is you can stop and stare Bled myself out and no one cares Dug a trench out, laid down there With a shovel up out of reach somewhere  Yeah, someone pour it in Make it a dirt dance floor again Say your prayers and stomp it out When they bring that chorus in  I bleed it out, digging deeper just to throw it away I bleed it out, digging deeper just to throw it away I bleed it out, digging deeper just to throw it away ...  *******  ******* ",74,0.61,0.596,4,166373,1
30,Shadow Of The Day,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.534,0.393,0OYcEfskah1egYHjYRvbg1,-7.813,0.0292,0.00479,110.007,11,0.0107,I close both locks below the window I close both blinds and turn away Sometimes solutions aren't so simple Sometimes goodbye's the only way  And the sun will set for you The sun will set for you And the shadow of the day Will embrace the world in gray ...  *******  ******* ,67,0.107,0.0641,4,290360,1
31,What I've Done,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.623,0.93,18lR4BzEs7e3qzc0KVkTpU,-5.285,0.0324,0.0141,120.119,5,1.64E-06,"In this farewell There's no blood, there's no alibi 'Cause I've drawn regret From the truth of a thousand lies  So let mercy come and wash away What I've done  I'll face myself To cross out what I've become Erase myself And let go of what I've done  Put to rest What you thought of me While I clean this slate With the hands of uncertainty ...  *******  ******* ",78,0.138,0.287,4,205613,1
32,Hands Held High,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.565,0.603,0m7mTaFGMiKI3rBJpYknip,-8.597,0.0329,0.324,104,9,4.87E-05,"Turn my mic up louder, I got to say something Lightweights steppin' aside when we come in Feel it in your chest, the syllables get pumping People on the street then panic and start running Words on loose leaf sheet, complete coming I jump in my mind, I summon the rhyme I'm dumping Healing the blind, I promise to let the sun in Sick of the dark ways we march to the drumming Jump when they tell us that they wanna see jumping Fuck that, I wanna see some fists pumping Risk something, take back what's yours Say something that you know they might attack you for 'Cause I'm sick of being treated like I had before Like it's stupid standing for what I'm standing for Like this war's really just a different brand of war Like it doesn't cater to rich and abandon poor Like they understand you, in the back of their jet When you can't put gas in your tank, these fuckers Are laughing their way to the bank, and cashing their check Asking you to have compassion and have some respect For a leader so nervous in an obvious way Stuttering and mumbling for nightly news to replay And the rest of the world watching at the end of the day In the living room, laughing like, ""What did he say?""  ...  *******  ******* ",57,0.195,0.132,4,233133,1
33,No More Sorrow,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257525,0.571,0.934,4CWhc9FaMMfBTt4ANjfbOf,-4.22,0.0531,0.00316,132.594,3,6.21E-06,"Are you lost in your lies? Do you tell yourself I don't realize? Your crusade's a disguise Replaced freedom with fear, you trade money for lives I'm aware of what you've done  No, no more sorrow I've paid for your mistakes Your time is borrowed Your time has come to be replaced  I see pain, I see need ...  *******  ******* ",64,0.197,0.409,4,221720,1
34,Valentine's Day,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257530,0.654,0.66,2vfshZvISOKy2Je7wQBWOV,-5.594,0.0283,0.0252,108.039,5,0.0371,"My insides all turn to ash So slow And blow away as I collapsed So cold  A black winter took them away From sight And now the darkness over day That night  And the clouds above move closer Looking so dissatisfied But the heartless wind kept blowing, blowing  I used to be my own protection But not now 'Cause my path has lost direction Somehow  ...  *******  ******* ",57,0.278,0.412,4,196813,1
35,In Between,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257530,0.458,0.51,2ysXuQd8uOfSMZcMRR5Ux4,-10.424,0.0409,0.335,193.948,10,0.00425,Let me apologize to begin with Let me apologize for what I'm about to say But trying to be genuine was harder than it seemed And somehow I got caught up in between  Let me apologize to begin with Let me apologize for what I'm about to say But trying to be someone else was harder than it seemed And somehow I got caught up in between  Between my pride and my promise Between my lies and how the truth gets in the way The things I want to say to you get lost before they come The only thing that's worse than one is none  ...  *******  ******* ,54,0.105,0.275,4,196747,1
36,In Pieces,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257530,0.508,0.886,7jeI6EdY0elPSNz80mAKS8,-6.074,0.0408,0.009,160.11,8,2.13E-06,"Telling me to go But hands beg me to stay Your lips say that you love Your eyes say that you hate  There's truth in your lies Doubt in your faith What you build you lay to waste  There's truth in your lies Doubt in your faith All I've got's what you didn't take  So I, I won't be the one ...  *******  ******* ",57,0.136,0.79,4,218013,1
37,The Little Things Give You Away,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10257530,0.562,0.479,48QYP8a8gEqbtvjOTMSpiD,-7.233,0.0278,0.036,140.051,7,0.000126,"Water gray Through the windows Up the stairs Chilling rain Like an ocean Everywhere  Don't want to reach for me, do you? I mean nothing to you The little things give you away And now there will be no mistaking The levees are breaking  All you've ever wanted Was someone to truly look up to you And six feet under water, I do  Hope decays Generations disappear ...  *******  ******* ",55,0.0562,0.113,3,383507,1
38,Prayers / Triangles,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",1111960,0.381,0.905,0B1Iqqq8wVoXM5R5glHQES,-5.05,0.0676,0.000107,142.545,5,0.43,"There's a new strange, godless demon awake inside me There's a force divine, terrorizing the angels I keep While we dream  Prayers laid on the line You will never be free You will never be free  I'm a true slave to the fire and the air around you While this cursed divine is slowly rotting away inside me While we dream  Prayers laid on the line You will never be free You will never be free ...  *******  ******* ",52,0.211,0.396,4,217920,1
39,Acid Hologram,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",1111960,0.151,0.931,7t2JgdeMxaw7cRhJbtUcm2,-4.336,0.0901,0.00284,94.087,10,0.611,"In the haze of your light, we bathe and wane You've surrounded our hearts again You smother me in shapes, in a secret praxis You've shown me your charms, revealed your name Blow the clouds from your mouth again And smother me in shapes, you'll reveal your secret side  ...  *******  ******* ",46,0.574,0.401,4,245827,0
40,Doomed User,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",1111960,0.122,0.95,6eMGp0jmEbFxy42ZnyzsLJ,-3.803,0.0946,2.62E-06,165.863,2,0.144,"There went your time, say goodbye, now leave here My fuse has expired, fucking die, just leave here Powerless stuck in your web of shit Open your eyes, you only play yourself Whoever's watching, I hope they catch the drift Collect your crown, you're now the queen of filth There, that's your life, go and die more, I mean it Loose and defiled, you define the meaning  They're delusions, don't deny it ...  *******  ******* ",48,0.108,0.257,3,266867,1
41,Geometric Headdress,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",1111960,0.413,0.842,45VAWfiWf1aX6yKMhb7nDp,-3.251,0.0379,7.16E-06,111.983,10,0.123,"Hey, princess, lay back in your chair Show us your geometry, see if I stare Pink cigarette, white see-through dress And a black and gold veil Ornate headdress, my temptress Wield your staff and your veil Vows, secrets, wake me when It's my turn to walk through  Caught deep in your every curve Primed and ready for battle Lift your veil now, formulate With the sound by yourself  As her words draw you in Our faith reconnects ...  *******  ******* ",43,0.11,0.276,3,209053,0
42,Hearts / Wires,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",1111960,0.507,0.52,1SeMnyEb5dwCBLU3QUC0K2,-8.725,0.0355,0.0228,127.03,10,0.325,"Nothing can save me now, it's what I believe The slit in the sky when you left is all I see Nothing to sing about, I've bared all my leaves No vision or dreams about you came true for me  Cut through this razor wire And dine on your heart, mine till the end  Stuck with illusion now, I drown in your sea ...  *******  ******* ",53,0.108,0.169,4,320547,1
43,Pittura Infamante,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",1111960,0.174,0.838,5WhRD87Q9qx388WdiIdQ0b,-5.02,0.0417,1.96E-05,108.122,2,0.00627,"I kneel at the altar Carve your name and hail to the gods I've climbed your tree, I peeled your fruit When I tasted your kiss How amazing that you were sent Like you were molded out of thin air Now I don't want you to disappear But I want you to carry us out here We sail through the arc light Attach the wings and wait for the gods We've found your grail, we drank your juice ...  *******  ******* ",43,0.317,0.344,3,243600,0
44,Xenon,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",1111960,0.267,0.895,3DjG5WXxqUyYBdeHdQZb80,-4.15,0.0456,0.00018,142.931,2,0.264,You're floating out astray This cold and lifeless body At this moment what you taste Is the key to your evolving  We're the lions at the gates We're the diamonds in your brain The desire in your veins for the violence And the writers of your fate  ...  *******  ******* ,43,0.441,0.177,4,197160,0
45,MIRL,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",1111960,0.312,0.759,4hYNZvsCnAOZP0lADhpmgC,-4.992,0.0342,0.00116,140.069,2,0.791,"I don't miss you I don't care where you are now You're a ghost to me Left with my taste in your mouth Taken away somewhere new I'm used to it This body is here but I'm gone When I reawake I'll reawake in the waves  In a new realm Catch this dream on film You might just get used to it And you'll smile, smile, smile, and dive deep ...  *******  ******* ",43,0.108,0.0916,4,302413,0
