S No,Song Name,Artist Name,Artist Popularity,Artist Genres,Artist Followers,Danceability,Energy,Track ID,Loudness,Speechiness,Acousticness,Tempo,Key,Instrumentalness,Lyrics,Popularity,Liveness,Valence,Time Signature List,Duration,Hit,Artist Hit
12,Papercut,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.524,0.939,1Vej0qeQ3ioKwpI6FUbRv1,3.994,0.113,0.00022,150.184,9,0,feel like night today somethin right today uptight today got left dont know first pressure fed know feel like voice back head like face hold inside face close eye face watch every time lie face laugh every time fall know time sink swim face inside right underneath skin like im lookin back like inside head like cant stop im hearing within like face inside right beneath skin,74,0.623,0.661,4,184867,1,1
13,One Step Closer,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.492,0.969,3K4HG9evC7dg3N0R9cYqk4,4.419,0.0491,0.0014,95.136,9,1.32E-06,cannot take anymore saying everything ive said word make sense find le hear le youll say youll find anyway like everything say need little room breathe cause im one step closer edge im break find answer arent clear wish could find way disappear thought make sense find nothing seems go away,75,0.0787,0.538,4,157333,1,1
14,With You,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.421,0.978,5uuXtfqM7Wp3idCxyHeOll,4.004,0.302,0.0037,196.921,6,0,woke dream today cold put cold foot floor forgot yesterday im im anymore little taste im left wake mistake slow even though youre close youre still distant cant bring back true way feel promised face sound voice memory even youre im see keeping everything inside see even close eye,64,0.111,0.359,4,203267,1,1
15,Points Of Authority,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.512,0.97,5egqKwgK5r5rvGD1LrtR7J,3.886,0.212,0.03,94.952,8,0,game somebody else take put name shame cover face cant run race pace fast wont last love way look taking thing put take away give life pride broken like think youre never wrong act like youre someone want someone hurt like want share love thing say ill,68,0.0994,0.427,4,200240,1,1
16,Crawling,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.58,0.702,57BrRMwf9LrcmuOsyGilwr,5.565,0.0337,0.0466,105.076,4,3.20E-06,crawling skin wound fear fall real something inside pull beneath surface fear cant seem find wall without sense im much pressure take ive felt way,75,0.536,0.299,4,208960,1,1
17,Runaway,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.636,0.884,6xtQ23d8GEXgcxyUKPtwc5,4.743,0.0584,0.0142,109.16,7,0,sky dust wave tension top broken trust learned never true find question guilty wanna run away never say goodbye wanna know truth instead wondering wanna know answer lie wanna shut door open mind paper bag voice sky dust another wave tension filled talk taking action word never true find question guilty,66,0.253,0.446,4,183973,1,1
18,By Myself,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.544,0.935,6UzeOH4bRPzKTo2wCXMZmC,4.159,0.173,0.0171,103.026,6,0.00301,ignore behind follow hide pride bad dream give sad thought sit try stand try catch trust get trust nobody live loneliness cant hold im thin make right move im lost within put end getting hurt ask cant ask cant cant hold much take cant hold thought,62,0.297,0.339,4,189800,1,1
19,In The End,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.542,0.853,60a0Rd6pjrkxjPbaKzXjfq,6.407,0.0498,0.0103,105.256,3,0,start one thing dont know doesnt even matter hard try keep mind rhyme explain due time know time thing watch fly swing watch count end day life away didnt look watch time go right window trying hold didnt even know wasted watch go kept everything inside even though tried fell apart meant memory time,85,0.108,0.37,4,216933,1,1
20,A Place For My Head,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.603,0.908,5rAxhWcgFng3s570sGO2F8,5.254,0.184,0.0144,133.063,11,0,watch moon sky dark night shining light sun sun doesnt give light moon moon gonna owe one make think act favor turn around start thing want back im sick tension sick sick acting like owe find another place feed find place rest wanna another place hate say dont understand wanna enemy place head maybe day ill like step people like run away people thought knew remember back,68,0.671,0.457,4,184640,1,1
21,Forgotten,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.615,0.947,7kxM3UJwN6rHAW5kwdlAHK,3.817,0.11,0.0132,108.193,8,0,top bottom bottom top stop core ive forgotten middle thought taken far safety picture memory wont escape care top bottom bottom top stop core ive forgotten middle thought taken far safety picture memory wont escape care place dark cant see end sky back cant rain dripping question power eye shut looking dust small spot light flood floor world pretend eye ease open dark top bottom bottom top stop core ive forgotten middle thought taken far safety picture memory wont escape care,62,0.366,0.498,4,194427,1,1
22,Cure For The Itch,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.75,0.677,3rpnfXSECgapxeGeRgUYqy,7.395,0.221,0.163,99.99,8,0.0509,folk special guest tonight would like mr,58,0.247,0.851,4,157200,1,1
23,Pushing Me Away,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.484,0.913,1gAaRSN57UYVRI4eWRyAvP,4.305,0.0425,0.000391,103.103,6,0,ive lied way always last smile ill fake lie never knowing never walked away played way see push away never walked away,62,0.309,0.279,4,191440,1,1
24,My December,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.73,0.585,0fxGA5lxrdYNYoE7yJxTNZ,9.274,0.0238,0.375,100.021,0,0.0101,december time year december clear december home december alone,64,0.147,0.721,4,260560,1,1
25,High Voltage,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.593,0.967,7GVqIMb6OdMY5mG7fUrtOq,4.26,0.182,0.105,93.916,7,2.77E-06,know mean could put life put sometimes know put wake every morning go bed night ive ever since livin space human mic could start kid make point like many men tried shake u twist mic double show im made knee like leg spell hate u try leave without shoulder cry let fire bomb tried moved promise shit without run whoever want high voltage sound high voltage bringing taking high voltage coming every side high voltage making rhythm rhyme collide put microphone never rhyme bright day might say,61,0.314,0.287,4,225107,1,1
26,Papercut  Recorded Live At BBC1,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.474,0.966,5SDOPP5zCdggONUuYWiiTS,4.104,0.135,0.000291,150.051,1,0.00025,feel like night today something right today uptight today got left dont know first pressure fed know feel like voice back head like face hold inside face close eye face watch every time lie face laugh every time fall know time sink swim face inside hearing right underneath skin like im lookin back like inside head like cant stop im hearing within like face inside right beneath skin,55,0.178,0.742,4,189973,1,1
27,Given Up,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.655,0.885,1fLlRApgzxWweF1JTf8yM5,4.116,0.0438,0.00117,100.088,7,0.000473,wake sweat another day laid waste stuck head feel like ill never leave place escape im worst enemy ive given im sick feeling nothing say take away im tell fuck wrong,68,0.0448,0.938,4,189293,1,1
28,Leave Out All The Rest,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.509,0.629,0sp00HSXkQyqTa6QqM0O8V,6.434,0.0335,0.209,80.012,0,1.99E-06,missing scared one would listen cause one else dreaming woke fear leaving im done youre asking want know time come forget wrong ive done help leave behind reason dont youre feeling empty keep memory leave rest,69,0.369,0.237,4,209307,1,1
29,Bleed It Out,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.529,0.967,0UFDKFqW2oGspYeYqo9wjA,3.647,0.0508,0.114,140.127,1,0,yeah go time hand every line throw em let something shine going fucking mind mouth excuse find new place hang roof tight wont get loose truth stop stare one care laid reach somewhere yeah someone pour make dirt dance floor say prayer bring chorus bleed digging deeper throw away bleed digging deeper throw away bleed digging deeper throw away,74,0.61,0.596,4,166373,1,1
30,Shadow Of The Day,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.534,0.393,0OYcEfskah1egYHjYRvbg1,7.813,0.0292,0.00479,110.007,11,0.0107,close lock window close blind turn away sometimes arent simple sometimes goodbye way sun set sun set shadow day world gray,67,0.107,0.0641,4,290360,1,1
31,What I've Done,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.623,0.93,18lR4BzEs7e3qzc0KVkTpU,5.285,0.0324,0.0141,120.119,5,1.64E-06,blood cause ive regret truth thousand lie let mercy come wash away ive done ill face cross ive become erase let go ive done put rest thought clean hand,78,0.138,0.287,4,205613,1,1
32,Hands Held High,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.565,0.603,0m7mTaFGMiKI3rBJpYknip,8.597,0.0329,0.324,104,9,4.87E-05,turn mic got say something come feel chest get people street panic start running word loose leaf complete coming jump mind rhyme im blind promise let sun sick dark way jump tell u wanna see fuck wanna see something take back whats say something know might attack cause im sick like like stupid standing im standing like war really different brand war like doesnt rich poor like understand back cant put way bank check asking respect nervous way news rest world watching end day living room like say,57,0.195,0.132,4,233133,1,1
33,No More Sorrow,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257525,0.571,0.934,4CWhc9FaMMfBTt4ANjfbOf,4.22,0.0531,0.00316,132.594,3,6.21E-06,lost lie tell dont realize replaced freedom fear trade money life im aware youve done ive paid mistake time time come replaced see pain see need,64,0.197,0.409,4,221720,1,1
34,Valentine's Day,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257530,0.654,0.66,2vfshZvISOKy2Je7wQBWOV,5.594,0.0283,0.0252,108.039,5,0.0371,inside turn slow blow away cold black took away sight darkness day night cloud move closer looking wind kept blowing blowing used cause path lost direction somehow,57,0.278,0.412,4,196813,1,1
35,In Between,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257530,0.458,0.51,2ysXuQd8uOfSMZcMRR5Ux4,10.424,0.0409,0.335,193.948,10,0.00425,let apologize begin let apologize im say trying harder seemed somehow got caught let apologize begin let apologize im say trying someone else harder seemed somehow got caught pride promise lie truth get way thing want say get lost come thing thats worse one none,54,0.105,0.275,4,196747,1,1
36,In Pieces,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257530,0.508,0.886,7jeI6EdY0elPSNz80mAKS8,6.074,0.0408,0.009,160.11,8,2.13E-06,telling go hand beg stay lip say love eye say hate truth lie doubt faith build lay waste truth lie doubt faith ive didnt take wont one,57,0.136,0.79,4,218013,1,1
37,The Little Things Give You Away,Linkin Park,86,"['alternative metal', 'nu metal', 'postgrunge', 'rap metal']",10257530,0.562,0.479,48QYP8a8gEqbtvjOTMSpiD,7.233,0.0278,0.036,140.051,7,0.000126,water gray window chilling rain like ocean everywhere dont want reach mean nothing little thing give away breaking youve ever wanted someone truly look six foot water hope disappear,55,0.0562,0.113,3,383507,1,1
38,Prayers / Triangles,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'postgrunge', 'rap metal', 'rap rock', 'rock']",1111960,0.381,0.905,0B1Iqqq8wVoXM5R5glHQES,5.05,0.0676,0.000107,142.545,5,0.43,new strange demon awake inside force angel keep dream prayer laid line never free never free im true fire air around slowly away inside dream prayer laid line never free never free,52,0.211,0.396,4,217920,1,0
39,Acid Hologram,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'postgrunge', 'rap metal', 'rap rock', 'rock']",1111960,0.151,0.931,7t2JgdeMxaw7cRhJbtUcm2,4.336,0.0901,0.00284,94.087,10,0.611,haze light youve surrounded heart smother shape secret youve name blow cloud mouth smother shape youll secret side,46,0.574,0.401,4,245827,0,0
40,Doomed User,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'postgrunge', 'rap metal', 'rap rock', 'rock']",1111960,0.122,0.95,6eMGp0jmEbFxy42ZnyzsLJ,3.803,0.0946,2.62E-06,165.863,2,0.144,went time say goodbye leave fuse fucking die leave stuck shit open eye play watching hope catch youre queen thats life go die mean loose meaning theyre dont deny,48,0.108,0.257,3,266867,1,0
41,Geometric Headdress,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'postgrunge', 'rap metal', 'rap rock', 'rock']",1111960,0.413,0.842,45VAWfiWf1aX6yKMhb7nDp,3.251,0.0379,7.16E-06,111.983,10,0.123,hey lay back show u see stare pink cigarette white dress black gold secret wake turn walk caught deep every ready battle lift sound word faith,43,0.11,0.276,3,209053,0,0
42,Hearts / Wires,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'postgrunge', 'rap metal', 'rap rock', 'rock']",1111960,0.507,0.52,1SeMnyEb5dwCBLU3QUC0K2,8.725,0.0355,0.0228,127.03,10,0.325,nothing save believe sky left see nothing sing ive leaf vision dream came true cut heart mine till end stuck illusion drown sea,53,0.108,0.169,4,320547,1,0
43,Pittura Infamante,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'postgrunge', 'rap metal', 'rap rock', 'rock']",1111960,0.174,0.838,5WhRD87Q9qx388WdiIdQ0b,5.02,0.0417,1.96E-05,108.122,2,0.00627,name god ive tree kiss amazing like thin air dont want disappear want carry u light wing wait god weve found drank,43,0.317,0.344,3,243600,0,0
44,Xenon,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'postgrunge', 'rap metal', 'rap rock', 'rock']",1111960,0.267,0.895,3DjG5WXxqUyYBdeHdQZb80,4.15,0.0456,0.00018,142.931,2,0.264,youre cold body moment taste key gate diamond brain desire fate,43,0.441,0.177,4,197160,0,0
45,MIRL,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'postgrunge', 'rap metal', 'rap rock', 'rock']",1111960,0.312,0.759,4hYNZvsCnAOZP0lADhpmgC,4.992,0.0342,0.00116,140.069,2,0.791,dont miss dont care youre ghost left taste mouth taken away somewhere new im used body im gone ill wave new catch dream might get used youll smile smile smile deep,43,0.108,0.0916,4,302413,0,0
46,Gore,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'postgrunge', 'rap metal', 'rap rock', 'rock']",1111960,0.332,0.912,0u1vgJ4L1Fb3JQUxpNV1He,5.891,0.0623,0.000199,142.026,1,0.314,deep dream locked ive pulled body wet blood beach brought dont deny smile youre set surprise youre one take want take surprise youre running game lay oh night way try smile youre set,43,0.112,0.182,4,299160,0,0
47,Phantom Bride,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'postgrunge', 'rap metal', 'rap rock', 'rock']",1111960,0.266,0.654,33qrQEXQJg4uk6k8fZgoOa,6.438,0.0466,0.0158,47.73,9,0.497,inside hole hide separate every true spent life poison dont feel anything rain true spend life trapped stay always cant thought cold space dont want feel anything new youve decided,51,0.11,0.285,3,293053,1,0
48,Rubicon,Deftones,69,"['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'postgrunge', 'rap metal', 'rap rock', 'rock']",1111960,0.242,0.865,7GmxcKBzgT3LdOQJ07dYPa,4.512,0.048,9.59E-06,148.857,7,0.851,cannot face crowd power raise eye slowly place faith body slowly take face light free sound asleep wide awake body tonight slowly,42,0.109,0.292,4,297840,0,0
49,There's Nothing Holdin' Me Back,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.866,0.813,7JJmb5XwzOO8jgpou264Ml,4.063,0.0554,0.38,121.998,11,0,wanna follow go think know wanna let take control cause get close yeah pull enough keep maybe stop start yeah oh ive shaking love go crazy take baby nothing holdin back take place tear reputation decision baby nothing holdin back nothing holdin back nothing holdin back say shes never afraid picture everybody naked,85,0.0779,0.969,4,199440,1,1
50,Ruin,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.686,0.382,7FUXL9fOmUeZFGXvL5cYkR,6.68,0.0314,0.382,125.024,2,0,think feel way remember felt cause listen babe woah oh im tryna ruin happiness darling dont know im one im tryna ruin happiness baby darling dont know im one yeah,59,0.109,0.527,3,241893,1,1
51,Mercy,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.555,0.662,0AS63m1wHv9n4VVRizK6Hc,4.952,0.0827,0.125,148.128,11,0,youve got hold dont even know power stand hundred foot fall im around show open door go cant take anymore im saying baby please mercy take easy heart even though dont mean hurt keep tearing apart would please mercy mercy heart would please mercy mercy heart id drive night near baby heart open tell im crazy,83,0.111,0.356,4,208733,1,1
52,Treat You Better,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.444,0.819,48DKpTEVJ2pAjxQbWTad3q,4.078,0.341,0.106,82.695,10,0,wont lie know right tell im see face say one want youre time wrong situation want stop know treat better girl like gentleman tell time wasted cry instead know treat better better,65,0.107,0.747,4,187973,1,1
53,Three Empty Words,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.615,0.414,1Tt5Leqvv6OawH2jth05Rw,9.826,0.0304,0.798,95.776,7,0,ill pick time place old drive well talk day try space tonight well play song used love try fall love dont know wrong right dont even care enough fight going motion cause cant fix whats broken know gonna hurt darling ill go first cause wont keep saying three empty word,67,0.135,0.536,4,199013,1,1
54,Don't Be A Fool,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.473,0.339,7msCKNrI0vZw9H4MIgLnAh,6.039,0.0364,0.596,175.264,11,0,youve got heart cant let keep babe cause wont sure stay dont waste time trying pull cause im mess dont wanna fix promise one thing wont forget kiss softly say dont fool wait darling know dont wanna hear im always move dont fool say love cause youll find man stand side,68,0.103,0.265,3,215773,1,1
55,Like This,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.546,0.433,3Qwd9wK176KgmorU7fCW6S,7.894,0.0935,0.809,77.397,10,0,say supposed tell waste time never wouldnt mind im trying ignore try go day hey still pick phone yeah get lost say try stop like hand ive lost fight thought strong enough cant hide truth,66,0.122,0.249,3,186947,1,1
56,No Promises,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.619,0.621,3gnDoaJUgD9Bblzld77Kcp,6.763,0.082,0.322,101.992,4,0,staring hotel window much mind maybe keep simple dont decide oh dont need cause ive dont even say baby please promise cause wont keep promise know baby please baby please promise,68,0.188,0.466,4,166053,1,1
57,Lights On,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.706,0.575,348cSuo1eooBe21AzdjAqy,6.353,0.0648,0.425,90.887,9,0,damn look good clothes im trying come strong know cant help cause girl youre beautiful cant deny want body im gentleman ill one take slowly cause girl youre beautiful wanna love light keep night long darling wanna see every inch get lost way move wanna love light hold till night gone darling wanna see every inch get lost way move wanna love light,67,0.122,0.554,4,201440,1,1
58,Honest,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.821,0.601,64GT5ReOko7xx6Nc7D8JsS,6.249,0.0626,0.249,116.965,9,0,hey going meet street talk moment way say easily everything said swear meant need tell isnt fault know ill probably regret kill cause worst part hate hurt gotta honest cant give need deserve promise im tryna im tryna baby im tryna honest im tryna honest know im sorry im tryna honest,68,0.0637,0.712,4,199187,1,1
59,Patience,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.553,0.571,0JZ9lcwFcAscMpy1YxUtpW,6.345,0.2,0.107,179.848,3,0,hit late night old story friend take phone away always give tell lie always make mistake ooh give little taste love take oh hate love cause youre crazy first say love say dont wake mornin im alone tell say wont make mind oh please im losing patience know im losing patience yeah,67,0.111,0.443,4,175253,1,1
60,Bad Reputation,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.413,0.697,3SBAb63Bjv98ZqfAvP9aK8,5.823,0.188,0.229,150.047,11,0,got bad reputation take long way home friend seen naked story go mistake make wont let go oh cause shes got bad reputation know dont dont care say baby dont know youve trust could one treat like lady let see whats underneath need got bad reputation nobody get close,60,0.256,0.332,3,198227,1,1
61,Understand,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.613,0.616,4IiHCtnfw8tZasAeocWqVe,6.33,0.39,0.355,78.996,0,0,asking question nothing im wondering really need make hate say im little bit scared ive train long people gettin im praying dont forget belong every time ask turning someone else im praying dont forget really wanna understand wanna understand im calling friend yeah remind ill always get lonely one talk good know somebody care cause ive train long people getting im dont forget belong every time ask,65,0.099,0.102,4,300973,1,1
62,Hold On,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.56,0.275,66P8MvPsqu5sN0UgzLYZrf,8.599,0.0354,0.745,132.51,1,0,stop take breath minute think much im alone never win keep thought inside ill pick phone dad said stay everything alright know havent seen lately youre always mind dont know youre going much life ahead wont slow matter gotta hold hold yeah,66,0.164,0.388,5,199547,1,1
63,Roses,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.611,0.489,4uzUuDjoufcBXYZ27CsLIF,6.771,0.0343,0.4,78.145,0,0,im afraid im enough cant find word say shes seems dont want take away many time see face many time walk away let know im tryna start fire flame im heart might feel honest baby tell im wrong crazy got rose need know let die let grow die let go,72,0.117,0.267,4,232200,1,1
64,Mercy  Acoustic,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'postteen pop', 'viral pop']",12172436,0.458,0.347,0uZnF1sn2IcNCvnyAIKNMQ,6.651,0.0381,0.712,78.928,11,0,youve got hold dont even know power stand hundred foot fall im around show open door go cant take anymore im saying baby please mercy take easy heart even though dont mean hurt keep tearing apart would please mercy mercy heart would please mercy mercy heart id drive night near baby heart open tell im crazy,69,0.11,0.431,4,219160,1,1
65,Don't Say A Word,Ellie Goulding,79,"['dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'postteen pop', 'r&b', 'tropical house']",5365023,0.418,0.555,4L2c5iIVqb10OlI2mdkrkf,7.662,0.0452,0.791,124.947,2,7.11E-06,oh youd never said anything youd never said anything never never never youd never said anything never never ooh never never never never ooh never never hand,35,0.0707,0.103,4,247410,0,1
66,Anything Could Happen,Ellie Goulding,79,"['dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'postteen pop', 'r&b', 'tropical house']",5365023,0.52,0.775,1Fes5MQcOLhyA16q7lmpeK,4.174,0.0554,0.411,206.097,0,0,waist fall river cover eye dont know secret ive trying hide held breath see name written year knew panic yes since found since found anything could happen anything could happen anything could happen anything could happen anything could happen anything could happen anything could war said wed fight together guess thought thats human letting darkness grow need need color,49,0.157,0.401,4,286322,1,1
